# name: diamond
# formula: C
# sites: C1
# refer1: Kittel, ISSP
# refer2:
# schoen:
# notes1: diamond structure
# POT SCF 30 4.4000 0, core-hole, AFOLP (folp(0)= 1.150)
# omega (eV) epsilon_1 epsilon_2 n kappa mu (cm^(-1)) R epsinv
.100000E-01 .480724E+01 .000000E+00 .140982E+01 .000000E+00 .000000E+00 .170948E+00 .000000E+00
.150000E-01 .480777E+01 .000000E+00 .140993E+01 .000000E+00 .000000E+00 .170964E+00 .000000E+00
.200000E-01 .480836E+01 .000000E+00 .141005E+01 .000000E+00 .000000E+00 .170981E+00 .000000E+00
.250000E-01 .480934E+01 .000000E+00 .141026E+01 .000000E+00 .000000E+00 .171010E+00 .000000E+00
.300000E-01 .481033E+01 .000000E+00 .141046E+01 .000000E+00 .000000E+00 .171040E+00 .000000E+00
.400000E-01 .481324E+01 .000000E+00 .141106E+01 .000000E+00 .000000E+00 .171125E+00 .000000E+00
.600000E-01 .482182E+01 .000000E+00 .141285E+01 .000000E+00 .000000E+00 .171378E+00 .000000E+00
.800000E-01 .483625E+01 .000000E+00 .141583E+01 .000000E+00 .000000E+00 .171803E+00 .000000E+00
.100000E+00 .486286E+01 .000000E+00 .142134E+01 .000000E+00 .000000E+00 .172584E+00 .000000E+00
.200000E+00 .478553E+01 .248929E+00 .140587E+01 .517292E-01 .104576E-01 .170577E+00 .742080E-02
.300000E+00 .467810E+01 .200927E+00 .138325E+01 .421540E-01 .128166E-01 .167290E+00 .622427E-02
.400000E+00 .463779E+01 .177452E+00 .137470E+01 .373627E-01 .151317E-01 .166040E+00 .557717E-02
.500000E+00 .461200E+01 .154883E+00 .136919E+01 .326867E-01 .165374E-01 .165228E+00 .491383E-02
.100000E+01 .461358E+01 .997396E-01 .136939E+01 .210475E-01 .213240E-01 .165211E+00 .316414E-02
.150000E+01 .468201E+01 .979608E-01 .138378E+01 .205472E-01 .312469E-01 .167267E+00 .303325E-02
.200000E+01 .477883E+01 .156426E+00 .140414E+01 .325310E-01 .660636E-01 .170216E+00 .467982E-02
.250000E+01 .481669E+01 .217100E+00 .141220E+01 .450004E-01 .114024E+00 .171431E+00 .640773E-02
.300000E+01 .491597E+01 .204429E+00 .143264E+01 .420179E-01 .127762E+00 .174311E+00 .583410E-02
.350000E+01 .509177E+01 .224774E+00 .146857E+01 .455261E-01 .161532E+00 .179403E+00 .604835E-02
.400000E+01 .530570E+01 .281189E+00 .151173E+01 .559703E-01 .227047E+00 .185520E+00 .705574E-02
.450000E+01 .555833E+01 .339343E+00 .156177E+01 .662283E-01 .302151E+00 .192544E+00 .786736E-02
.500000E+01 .594700E+01 .389180E+00 .163672E+01 .737939E-01 .374058E+00 .202874E+00 .803767E-02
.550000E+01 .657414E+01 .612177E+00 .175430E+01 .111048E+00 .619904E+00 .219030E+00 .105736E-01
.600000E+01 .723922E+01 .131897E+01 .187960E+01 .228822E+00 .139429E+01 .237409E+00 .188719E-01
.650000E+01 .744510E+01 .242215E+01 .193535E+01 .412589E+00 .272069E+01 .250138E+00 .313565E-01
.700000E+01 .707038E+01 .332962E+01 .189838E+01 .574444E+00 .407673E+01 .253367E+00 .436884E-01
.750000E+01 .656209E+01 .362108E+01 .182369E+01 .641196E+00 .487411E+01 .248606E+00 .515110E-01
.800000E+01 .671489E+01 .356822E+01 .184735E+01 .626578E+00 .508060E+01 .250436E+00 .493865E-01
.850000E+01 .732329E+01 .417375E+01 .196938E+01 .702787E+00 .605474E+01 .269070E+00 .481398E-01
.900000E+01 .758994E+01 .536584E+01 .205929E+01 .876943E+00 .800024E+01 .290476E+00 .522963E-01
.950000E+01 .751301E+01 .672746E+01 .211157E+01 .108103E+01 .104095E+02 .311363E+00 .571334E-01
.100000E+02 .701146E+01 .830323E+01 .212661E+01 .132784E+01 .134602E+02 .334508E+00 .623390E-01
.105000E+02 .584642E+01 .100129E+02 .208049E+01 .162535E+01 .172996E+02 .361345E+00 .680129E-01
.110000E+02 .373972E+01 .113088E+02 .191576E+01 .193949E+01 .216250E+02 .389258E+00 .751841E-01
.115000E+02 .119201E+01 .114619E+02 .163263E+01 .217717E+01 .253779E+02 .412981E+00 .841388E-01
.120000E+02 -.890656E+00 .106471E+02 .131906E+01 .229585E+01 .279245E+02 .430588E+00 .938689E-01
.125000E+02 -.241441E+01 .938154E+01 .100884E+01 .233504E+01 .295832E+02 .446191E+00 .104195E+00
.130000E+02 -.326051E+01 .793325E+01 .730119E+00 .229242E+01 .302043E+02 .455548E+00 .116587E+00
.135000E+02 -.361509E+01 .666903E+01 .507982E+00 .221117E+01 .302547E+02 .460451E+00 .129967E+00
.140000E+02 -.366920E+01 .560074E+01 .329245E+00 .210630E+01 .298857E+02 .460910E+00 .145546E+00
.145000E+02 -.354901E+01 .482523E+01 .205739E+00 .200072E+01 .294020E+02 .456174E+00 .162060E+00
.150000E+02 -.346194E+01 .424498E+01 .105615E+00 .191950E+01 .291812E+02 .455275E+00 .176301E+00
